True cost  Build cost  Energy cost  Sink value  Item name                    Recipe name
47.99      33.98       546.58       140         Rotor                        Copper Rotor (alt)

47.87      43.66       164.04       180         Packaged Heavy Oil Residue   Packaged Heavy Oil Residue 

40.26      38.46       69.99        60.0        Heavy Oil Residue            Heavy Oil Residue (alt)

36.26      32.17       159.41       75          Plastic                      Recycled Plastic (alt)

33.98      33.24       28.75        27          Aluminum Scrap               Electrode - Aluminum Scrap (alt)

33.78      32.6        46.23        20          Silica                       Cheap Silica (alt)

30.22      26.26       154.61       60          Rubber                       Recycled Rubber (alt)

28.51      24.43       159.05       270         Packaged Fuel                Diluted Packaged Fuel (alt)

26.11      24.01       81.62        24          Steel Pipe                   Steel Pipe 

24.42      23.67       29.22        12          Polymer Resin                Polymer Resin (alt)

21.54      19.23       89.99        105.0       Fuel                         Diluted Fuel (alt)

21.09      20.79       11.62        3           Copper Ore                   Copper Ore 

20.2       19.92       10.88        3           Coal                         Coal 

18.34      17.03       51.05        12          Concrete                     Wet Concrete (alt)

17.2       16.01       46.42        8           Steel Ingot                  Coke Steel Ingot (alt)

13.8       12.82       38.33        20          Petroleum Coke               Petroleum Coke 

13.77      12.52       48.63        17          Quickwire                    Fused Quickwire (alt)

12.04      8.32        145.32       24          Copper Sheet                 Steamed Copper Sheet (alt)

11.63      11.35       10.7         2           Limestone                    Limestone 

9.73       8.32        55.32        6           Copper Ingot                 Pure Copper Ingot (alt)

8.8        8.53        10.76        1           Iron Ore                     Iron Ore 

8.66       5.2         134.95       370         Packaged Liquid Biofuel      Packaged Liquid Biofuel 

7.61       5.2         94.05        130         Packaged Water               Packaged Water 

7.41       6.24        45.45        6           Iron Plate                   Steel Coated Plate (alt)

7.1        5.2         74.05        60          Empty Canister               Coated Iron Canister (alt)

6.89       5.1         69.96        24          Cable                        Cable 

5.53       4.59        36.56        2           Iron Ingot                   Pure Iron Ingot (alt)

4.43       4.0         16.6         4           Iron Rod                     Steel Rod (alt)

3.34       2.55        30.98        6           Wire                         Iron Wire (alt)

1.64       0.0         64.0         140         Fabric                       Fabric 

1.26       1.0         10.15        2           Screw                        Screw 

1.18       0.0         45.9         155.0       Liquid Biofuel               Liquid Biofuel 

0.31       0.0         12.0                     Alien Protein                Hog Protein 

0.26       0.0         10.0         35.0        Water                        Water 

0.14       0.0         5.6          48          Solid Biofuel                Solid Biofuel 

0.02       0.0         0.8          12          Biomass                      Biomass (Wood) 

0.0        0.0         0.0          30          Wood                         Wood 

0.0        0.0         0.0          3           Leaves                       Leaves 

0.0        0.0         0.0          10          Mycelia                      Mycelia 

0.0        0.0         0.0                      Hog Remains                  Hog Remains 

-141.75    5775.86     -230786.85               Plutonium Waste              Plutonium Waste 

